id,product,category,sub_category,brand,type,price,image_url,description
2239,Cauliflower,Fruits & Vegetables,Fresh Vegetables,Fresho,Cabbage & Cauliflower,41.25,https://www.bigbasket.com/media/uploads/p/s/10000074_19-fresho-cauliflower.jpg,"Cauliflower is made up of tightly bound clusters of soft, crumbly, sweet cauliflower florets that form a dense head.
Resembling a classic tree, the florets are attached to a central edible white trunk which is firm and tender.
Do not forget to check our delicious fruit recipe. https://www.bigbasket.com/cookbook/recipes/2144/cauliflower-cheese-pancakes/"
2240,Industrial Wiper,Cleaning & Household,"Mops, Brushes & Scrubs",Magix,"Mops, Wipers",390,https://www.bigbasket.com/media/uploads/p/mm/40106693_1-magix-industrial-wiper.jpg,Magix Industrial Wiper Used for Wet Floor Comes with Steel Rod. It has special rubber which increases life of this wiper & gives it super strength. Rubber does not cracks. Wiper comes with Steel Rod
2241,Perfume Body Spray - Enchanted RoMenee For Women,Beauty & Hygiene,Fragrances & Deos,Armaf,Body Sprays & Mists,500,https://www.bigbasket.com/media/uploads/p/mm/40108157_1-armaf-perfume-body-spray-enchanted-romenee-for-women.jpg,"The best deodorant spray for women and this deodorant keeps you active, brisk and energetic."
2242,"A4 Notebook - Unruled, 160 Pages, Soft Cover",Cleaning & Household,Stationery,Papergrid,"Notebooks, Files, Folders",65,https://www.bigbasket.com/media/uploads/p/mm/40197937_1-papergrid-a4-notebook-unruled-160-pages-soft-cover.jpg,"Paper grid uses the finest quality of the paper to bring you the best quality notebooks. Our single colour cover is a market disruptor and has amassed great love from the customers. With an unmatched paper quality, this notebook is a great companion for your ward's journey into the world of learning, imagination and education. Fall in love with notebooks again.USP:It comes in a Single Colour Matte Finish Cover. Available in attractive colours. Papergrid Notebooks use finest quality paper in India without any compromise in quality."
2243,Bhakhri Baked Mathri - Kothmir,Snacks & Branded Foods,Snacks & Namkeen,Tasties,Namkeen & Savoury Snacks,110,https://www.bigbasket.com/media/uploads/p/mm/40200009_1-tasties-bhakhri-baked-mathri-kothmir.jpg,Tasties Bhakhri is made from 100% natural ingredients that can be used as a snack or your daily breakfast. This delicious and yummy bhakhri is made up of whole wheat flour and contains no preservatives. The bhakhri are baked and not fried to ensure no cholestrol present. This healthy and mouthwatering bhakhri make your snack time happier.
2244,IMPORTED - Cotton Pads Rounds with Non Woven 2 Sided,Cleaning & Household,All Purpose Cleaners,Caremate,Imported Cleaners,130,https://www.bigbasket.com/media/uploads/p/mm/40108876_1-caremate-imported-cotton-pads-rounds-with-non-woven-2-sided.jpg,"Caremate cotton pads are made of 100% pure cotton and can be used for multiple purposes. It is a pad of soft fiber that is primarily used for medical or cosmetic purposes. These cotton pads are excellent for cosmetic use, for babies and for medical applications. Use the soft cotton pads to apply or remove make up, creams, lotions, oils, nail paint, antiseptics and ointments. This cotton pads have top and bottom layer of non woven to make it ideal for 2 sided use and also to make it lint free."
2245,Cow Ghee/Tuppa - Agmark Special Grade Bring Home Health & Happiness,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Heritage,Ghee & Vanaspati,595,https://www.bigbasket.com/media/uploads/p/mm/257871_2-heritage-cow-ghee.jpg,"• The taste of purity- Heritage Ghee is made from the purest and richest of creams using state-of-the-art technology. • Its packed in hygienic conditions to bring home intact the freshness of pure ghee. • The natural golden yellow colour of heritage ghee is due to the presence of beta carotene, a rich source of vitamin A. • Hygienically manufactured and packed in a special pack to retain the goodness of pure ghee."
2246,W5 Perfume Spray For Women,Beauty & Hygiene,Fragrances & Deos,Engage,Women's Deodorants,299,https://www.bigbasket.com/media/uploads/p/mm/40212527_1-engage-w5-perfume-spray-for-women.jpg,"Engage's newest perfume spray, W5, is a fun, fruity, and most importantly, long-lasting fragrance that is the perfect companion for your day.

Belonging to the chypre-floral family, this fragrange has top notes of nutmeg and plum; soft floral notes of freesia and peony at its heart and earthy tones of moss, musk, and vetiver at its base.
W6 comes in a buy-one-get-one-free offer and is long-lasting, so you don't have to worry about your favourite fragrance running out anytime soon.

Use this fragrance every day or wear it on that special date, the possibilities are endless!"
2247,Cup Noodles - Spiced Chicken,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Nissin,Cup Noodles,50,https://www.bigbasket.com/media/uploads/p/s/264918_7-nissin-cup-noodles-spiced-chicken.jpg,Nissin cup noodles tangy chicken includes a precooked (fried) block of noodles that requires only the addition of hot water. It is portable and thus makes the perfect snack for your long journeys.
2248,After Wash Liquid Laundry Sanitizer - Fresh Linen,Cleaning & Household,All Purpose Cleaners,Dettol,"Fabric Pre, Post Wash",290,https://www.bigbasket.com/media/uploads/p/s/40189409_2-dettol-after-wash-liquid-laundry-sanitizer-fresh-linen.jpg,"Keeping your laundry clean and germ-free every day requires a lot of pain and effort but Dettol Laundry Sanitizer makes hygienically cleaning your clothes an easy task. This clothes sanitizer eliminates bacteria that breed on synthetic fabrics and keep increasing from the excessive oil present in human skin. These are illness-causing germs and should be removed for a healthy and safe living. The clothes conditioner is gentle on clothes and freshens them with a delightful fresh linen fragrance. Use it as a winter clothes sanitizer to kill germs and give your family the trusted protection of Dettol. The laundry liquid sanitizer is recommended by the Indian Medical Association (IMA).Dettol has a wide range of products to protect your family against germs. Explore other products from Dettol: Handwash, Hand Sanitizer, Soaps, Bodywash, Antiseptic Liquid, Disinfectant Cleaner, Disinfectant Spray, Anti-pollution Mask and Laundry Sanitizer."
2249,"Roasted Pumpkin, Sunflower & Flax",Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,Roasted Seeds & Nuts,149,https://www.bigbasket.com/media/uploads/p/mm/40042052_20-true-elements-roasted-pumpkin-sunflower-flax.jpg,"True Elements brings to you Roasted Pumpkin, Sunflower and Flax Seeds that are loaded with health benefits and nutrients. It is perfectly crunchy and is 100% natural and high-quality. These seeds are slightly roasted to get maximum health benefits and the right crunch. This combination of seeds contains vitamins, minerals, essential amino acids, antioxidants, fatty acids, etc. that are important for your health. It is a great mid-meal snack, sprinkled over breakfast or soups.
Benefits: 1. It is loaded with many health benefits and nutrients.
2. It is a great healthy snack or meal option.
3. It contains vitamins, minerals, essential amino acids, antioxidants and fatty acids.
4. It is 100% natural and made of high-quality."
2250,Ornella Toughened Mixing Bowl Set,"Kitchen, Garden & Pets",Crockery & Cutlery,Cello,Glassware,289,https://www.bigbasket.com/media/uploads/p/s/40156121_3-cello-ornella-toughened-mixing-bowl-set.jpg,"Cello Ornella glass mixing bowl is made up of toughened glass which can be used for multiple purposes like mixing, marinating, serving and warming up food (microwave Safe). It can be used in the dishwasher too. It can be used in the freezer for food storage. Tempt your guests when you serve yummy cooked pasta, salads, desserts, puddings etc. in this clear transparent glass bowl. These crystal clear bowls will look fantastic on any table-top. You do not have to worry that the stubborn stains will fade the crystal clarity of bowl after repeated usage. The bowls are stackable & nestable thus saves valuable storage space. Scratch-resistant and non-porous, this bowl will not absorb stains or odours. This is a must-have addition to your glassware collection!"
2251,"Reusable Fabric Diaper - Medium, Pink",Baby Care,Diapers & Wipes,Paw Paw,Diapers,269,https://www.bigbasket.com/media/uploads/p/mm/40181156_4-paw-paw-reusable-fabric-diaper-medium-pink.jpg,"India's no.1 reusable diaper, Paw Paw Fabric Diaper is highly absorbant, less susceptible to skin rashes & skin allergies, unlike disposable diapers. The reusable diaper is an eco-friendly diapering option that helps to reduce disposable waste in our landfills. It has a reusable printed outer shell and super-absorbent reusable insert pad. It is very gentle for your little one's skin."
2252,Cheese Slices - Plain,Gourmet & World Food,Dairy & Cheese,Dairy Craft,International Cheese,155,https://www.bigbasket.com/media/uploads/p/mm/30010189_3-dairy-craft-cheese-slices-plain.jpg,Cheese slices plain are farmhouse cheese slices made of Buffalo milk weighing 15gm each.
2253,Deluxe Plus Junior Handi Pressure Cooker (20357),"Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,Pressure Cookers,3080,https://www.bigbasket.com/media/uploads/p/mm/40008593_3-prestige-deluxe-plus-junior-handi-pressure-cooker-20357.jpg,"Deluxe Plus Hard Anodised Pressure Cooker gives you the convenience of aluminium cookers and the strength of anodisation, making it scratch-resistant, stain-resistant and stick-resistant. This cooker comes with induction base which can work on any heat source and enables you to cook delicious dishes in a smart way at the highest level of safety through its Pressure Indicator which rises above the lid under pressure and drops when the pressure inside falls to zero, giving a visible indication to safely open the cooker. It is also aesthetically appealing so that they can be used to serve at the table.
Prestige Deluxe Plus HA base is Stainless steel perforated (holes) plate, machine pressed to Aluminium cooker base. Suitable for Induction cooktops and gas cooking, this versatile cooker provides you with maximum utility.
It is an outer lid pressure cooker made from virgin aluminium which is hard anodised for aesthetic looks and long-lasting durability. The outer lid feature is suitable for both separator cooking and direct vessel cooking.
It is the first level of safety feature to release pressure above 1kg/cm2, which makes the cooking safe and time saving for you.
This is the 2nd level of safety provide in Prestige pressure cooker, in case there is any blockage of vent tube, the CGRS will release the steam from cooktop. Thus making it extremely safe for usage.
The sturdy handles with flame guard provide extra grip and comfort, making it ideal for regular use and durability.
It is a visual indication of pressure level which will help in indicating the correct time to open the cooker lid. Thus making the cooker extremely convenient to use."
2254,Filter Coffee Powder,Beverages,Coffee,EASY COFFEE,Ground Coffee,130,https://www.bigbasket.com/media/uploads/p/mm/40181150_4-easy-coffee-filter-coffee-powder.jpg,"Traditional south Indian filter coffee powder with rich aroma and taste.Filter coffee has been roasted and ground. Filter coffee contains more caffeine than instant coffee. Coffee is also known as Kaapi, which is the south Indian phonetic name for Coffee. Coffee has been loved by Indians for ages and is considered to be the rich man's beverage drink. Very few beverages are as potent and satiating as a cup of filter coffee. You can brew it strong or light based on how you like it."
2255,Gluten Free Fusilli,Gourmet & World Food,"Pasta, Soup & Noodles",Anmara,Pastas & Spaghetti,495,https://www.bigbasket.com/media/uploads/p/mm/40204866_2-anmara-gluten-free-fusilli.jpg,"We at Anmara, are driven to bring the highest quality artisanal foods to your home kitchen. Ensure a careful selection of raw material for all our pasta. The final product has been crafted using long-established & time-honoured Italian processes."
2256,Plastic Atta Container - Transparent,"Kitchen, Garden & Pets",Storage & Accessories,Laplast,Containers Sets,899,https://www.bigbasket.com/media/uploads/p/mm/40021557_1-laplast-plastic-atta-container-transparent.jpg,"This set of Storewell boxes from Laplast will help you keep your kitchen countertop, cabinets as well as fridge shelves free from any clutter or mess, as well as allow you to use every inch of the available storage space. Use them to store groceries and staples such as biscuits, cereals, and spices in a hygienic and accessible manner. These airtight boxes can be used to preserve pulps and purees in the freezer. It can also be placed in the dishwasher for easy washing."
2257,Whipped Cream Powder - Chocolate,Gourmet & World Food,Cooking & Baking Needs,Puramate,"Baking, Cake Decorations",130,https://www.bigbasket.com/media/uploads/p/mm/40205937_1-puramate-whipped-cream-powder-chocolate.jpg,"It is a free-flowing cream chocolate flavoured powder that is ideal for replacing freshly whipped cream. It provides excellent after whipping volume and stability as well as is freeze stable making it perfect for use in all cake and confectionery applications, including frozen desserts. This Whipping Cream Powder can be used as a basis for fillings and for toppings or garnishes for any kind of cake. Pineapple whipped cream is the perfect topping for sodas, milkshakes, pies, tarts, mousse cupcakes, pies, cakes, ice cream, and fresh fruit or as filling in cookies sandwiches. It adds volume, richness and smoothness to the product while pineapple flavouring adds depth to it."
2258,Mix - Omega Seed,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Nourish Organics,"Healthy, Baked Snacks",250,https://www.bigbasket.com/media/uploads/p/mm/30001297_5-nourish-organics-mix-omega-seed.jpg,"EAN Code: 30001297  Country of origin: India  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com"
2259,Malabar Black Pepper Powder,"Foodgrains, Oil & Masala",Masalas & Spices,Keya,Powdered Spices,190,https://www.bigbasket.com/media/uploads/p/mm/40158059_3-keya-malabar-black-pepper-powder.jpg,The authentic origin of Keya Malabar Black Pepper Powder makes it special and different from ordinary Black Pepper Powder. It is carefully handpicked from the marvellous lands of Malabar. It gives great taste and aroma to your food.
2260,Wottagirl - Divine Perfume Spray,Beauty & Hygiene,Fragrances & Deos,Layerr,Perfume,599,https://www.bigbasket.com/media/uploads/p/mm/40185030_3-layerr-wottagirl-divine-perfume-spray.jpg,A sparkling blend of fresh musk with floral notes. A scent so divine you just can't let go.
2261,FunFoods Spicy Vinegar,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Dr. Oetker,Vinegar,55,https://www.bigbasket.com/media/uploads/p/mm/40015846_11-dr-oetker-funfoods-spicy-vinegar.jpg,"Spicy Vinegar from FunFoods by Dr. Oetker is a unique taste of spiciness to the otherwise sour vinegar. It adds an exclusive Chinese taste to the dishes you prepare at home. It has a unique taste of spiciness to the otherwise sour vinegar. It is used as an ingredient in authentic Chinese dishes like lemon coriander soup, hot and sour soup, Chinese style pickles and other stir-fried recipes."
2262,"Rush - Deostick For Men, Cream Based Deodorant",Beauty & Hygiene,Men's Grooming,Cinthol,Men's Deodorants,60,https://www.bigbasket.com/media/uploads/p/mm/40066565_7-cinthol-rush-deostick-for-men-cream-based-deodorant.jpg,"Cinthol Deostick is a deodorant like you have never tried before. Made from cream formulation, not spray, it lasts 3 times longer than ordinary deo's and is gentle on your skin too. Use it after a shower to experience that awesome feeling all day long."
2263,Celebration Series Darjeeling First Flush Premium Loose Leaf Black Tea,Beverages,Tea,Karma Kettle,Leaf & Dust Tea,450,https://www.bigbasket.com/media/uploads/p/mm/40134941_3-karma-kettle-celebration-series-darjeeling-first-flush-premium-loose-leaf-black-tea.jpg,"Darjeeling tea occupies a place of pride for India. This tippy first flush is medium bodied. With tinges of green, it brews to a vibrant cup with hints of musk melon or cantaloupe fruits, it ends with a succulent lingering finish.

It is called the 'Champagne' of teas for its unique Muscatel flavour and exquisite bouquet.
Darjeeling first flush tea is made of tea leaves which are plucked between late February to Mid April every year, often tea is plucked with they are off new shoots or buds.
They have a light, floral flavour, best enjoyed without milk
Considered some of the best Darjeeling tea"
2264,Powder Masala - Vangi Bhath,"Foodgrains, Oil & Masala",Masalas & Spices,Ogara,Blended Masalas,45,https://www.bigbasket.com/media/uploads/p/mm/40134094_1-ogara-powder-masala-vangi-bhath.jpg,"This Vangi Bhath Powder by Ogara provides you with the authentic taste of South Indian food. Made with Bengal Gram Dal, Urad Dal, Dried Coconut and other Indian spices, this traditional dish is unmatchable in taste and flavour."
2265,Life Blended Oil,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cardia,Blended Cooking Oils,233,https://www.bigbasket.com/media/uploads/p/mm/40075888_6-cardia-life-blended-oil.jpg,Cardia Life Goodness of corn and Olive oil for a perfect healthy heart. Versatile in its uses and has the added advantage of being healthy as well as tasty.
2266,Veg Biryani,Snacks & Branded Foods,Ready To Cook & Eat,MOM,Breakfast & Snack Mixes,60,https://www.bigbasket.com/media/uploads/p/mm/40105190_3-mom-veg-biryani.jpg,Dehydrated food product in a plastic tub packaging. Add boiling water to prepare.
2267,Safe Sun Sun Block Cream PA+ - SPF 20,Beauty & Hygiene,Skin Care,Lotus Herbals,Face Care,190,https://www.bigbasket.com/media/uploads/p/mm/40052346_3-lotus-herbals-safe-sun-sun-block-cream-pa-spf-20.jpg,"Lotus Herbals Sun Block Cream SPF 20 protects the skin from the harmful effects of the sun. If harsh summer is that time of the year that you dread for the sake of your skin, then you have got a reason to rejoice. The Lotus Herbals Sun Block creme helps prevent the darkening of your skin with amazing effect. With its chemical-free formulation, the product works amazingly well for your skin at all times. The SPF 20 in the sunblock creme helps maintain the skins youthful look without suffering damage from the severe rays of the sun. The sunblock offers complete protection against UVA and UVB exposure so that your outdoor travelling or commute does not become the reason for a loss of youthful and fresh looking skin you are endowed with. The extracts of berry and natural sunscreen agents provide a much more effective product adept at short-term skin care. It is suitable for all skin types and can be used daily without any effect on the skin. Any part of your skin exposed to the unforgiving sun rays can benefit from daily application."
2268,Rushikanti Multani Mitti With Rose,Beauty & Hygiene,Skin Care,Akshara Herbals,Face Care,50,https://www.bigbasket.com/media/uploads/p/mm/40108451_1-akshara-herbals-rushikanti-multani-mitti-with-rose.jpg,"Rushikanti Multani Mitti + Rose is a unique blend that give you clear and soft skin. Multani Mitti deep cleanses skin removing dirt, absorbs the excess oil, opens up the pores, reduces pimples, fights acne, treating sunburn & skin rashes, marks and counteracts the effect of tanning to make your skin Bright and Clear. Rose, Cleanses the skin, antioxidant, antibacterial, natural astringent and moisturizes the skin making it Glow Complexion, Smooth and Soft.  For Beauty tips, tricks & more visitÂ https://bigbasket.blog/"
2269,Fruit & Nut Chocolate,Gourmet & World Food,Chocolates & Biscuits,Toblerone,International Chocolates,225,https://www.bigbasket.com/media/uploads/p/mm/40074075_6-toblerone-fruit-nut-chocolate.jpg,Toblerone is a unique example of outstanding product branding. You must have wondered at some point how Toblerone came by its strange name and striking good looks. Smooth milk handmade chocolate with honey and almond nougat.
2270,"100% Melamine Quadra Serving Bowl - Small, Black","Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,Plates & Bowls,432,https://www.bigbasket.com/media/uploads/p/mm/40134638_4-iveo-100-melamine-quadra-serving-bowl-small-black.jpg,This bowl is used as a soup-cereal bowl. It is used to serve the first course of pureed soup at meals with a light menu. A bowl is an open-top container used in many cultures to serve hot and cold food. Bowls are normally round but can be any shape including square or rectangular.
2271,Organic - Quinoa,"Foodgrains, Oil & Masala",Dals & Pulses,bb Royal,"Organic Rice, Other Rice",101,https://www.bigbasket.com/media/uploads/p/mm/40077502_12-bb-royal-organic-quinoa.jpg,"Quinoa is one of the world's most popular health foods. Quinoa is gluten-free, high in protein and one of the few plant foods that contain all nine essential amino acids. It is also high in fiber, magnesium, B-vitamins, iron, potassium, calcium, phosphorus, vitamin E and various beneficial antioxidants."
2272,Classic Instant Coffee,Beverages,Coffee,Nescafe ,Instant Coffee,550,https://www.bigbasket.com/media/uploads/p/mm/40208516_1-nescafe-classic-instant-coffee.jpg,"With a rich and aromatic cup of Nescafe Classic Instant Coffee, make a refreshing start to your mornings with a healthy dose of caffeine. The intense taste coupled with a rich aroma gives a kick-start to your mornings. Awaken your senses every morning or whenever you want with a cup of Nescafe Classic coffee. Relish premium frothy instant coffee at home with this Nestle classic coffee. The Nestle classic coffee is made of carefully selected roasted beans to offer you a refreshing experience with every sip. Enjoy drinking 100% pure and flavourful coffee any time of the day."
2273,Health+ Bath Soap - 99.9% Germ Protection,Beauty & Hygiene,Bath & Hand Wash,Cinthol,Bathing Bars & Soaps,280,https://www.bigbasket.com/media/uploads/p/mm/40162216_2-cinthol-health-bath-soap-999-germ-protection.jpg,"Cinthol Confidence+ Bath Soap, one of the leading bathing soap brands in India, has the power of germ protection with an amazing deo fragrance. It makes you confident as you take on everyday challenges and brings you to life. With Cinthol Confidence+ Soap, being Alive is Awesome.

Explore the wide range of refreshing Cinthol bath soaps, available in 4 other variants, namely Cool, Deo, Lime and Original."
2274,Krackjack Biscuits,Snacks & Branded Foods,Biscuits & Cookies,Parle,Salted Biscuits,30,https://www.bigbasket.com/media/uploads/p/s/102569_5-parle-krackjack-biscuits.jpg,"Parle Krack Jack Biscuit is a crunchy and tasty biscuit with an ideal balance of sweetness and saltiness. Once you begin relishing it, you won't be able to end. You will desire for more. Although Krackjack sweet and salty biscuits can be enjoyed anytime, it leaves wonderfully well with your evening cup of tea."
2275,Sensitive - With Anti-Sensitivity & Fluoride Toothpaste,Beauty & Hygiene,Oral Care,Clove,Toothpaste,160,https://www.bigbasket.com/media/uploads/p/mm/40213600_1-clove-sensitive-with-anti-sensitivity-fluoride-toothpaste.jpg,"Clove is your very own dental care expert made by Indians for Indians. Clove Sensitive helps relieve the sharp or sudden pain caused by sensitive teeth. The toothpaste is formulated with Dentist approved ingredients to provide long-lasting relief from sensitivity and help prevent cavities. With the goodness of clove oil & mint it helps reduce the formation of plaque and tartar above the gum line and fight against gingivitis, stains, tartar, and cavities. Fluoride gives protection against tooth decay and strengthens teeth. Clove Sensitive has excellent foaming action with smooth & easy flow ensuring it gets to every corner of your whole mouth and fights bacteria on teeth, tongue, cheeks, and gums, enamel protection and prevents bleeding gums. Say goodbye to sensitive teeth and gums as you welcome Clove Sensitive toothpaste. Clove Sensitive has a unique flavour (Clove + Mint) formulated by Symrise, a world-renowned flavouring company based in Germany and manufactured in India by Dabur."
2276,Toned Milk,"Bakery, Cakes & Dairy",Dairy,Nandini,Milk,26,https://www.bigbasket.com/media/uploads/p/s/242671_1-nandini-toned-milk.jpg,"Goodlife Smart Homogenised Double Toned Milk UHT processed milk with Min 1.5% fat and Min 9.0% SNF fortified with vitamins A and D. Suitable for preparing tea/coffee, milk shakes and milk delights for people leading a fitness conscious lifestyle. Not a day passes by when we do not need milk on a regular basis. If there are children in the house, milk is a must. Your morning tea or coffee is incomplete without it; breakfast cornflakes calls for it too. Besides its regular use, milk can be used for so many other things. Whip up a batch of cookies or bake some delicious cakes with milk. Scrambled eggs are so much fluffier and tastier, thanks to a dash of milk. Not to forget homemade milkshakes. There is so much you can do with just a cup of milk!"
2277,Powder - Chaat Masala,Gourmet & World Food,Cooking & Baking Needs,The Spice Club,"Herbs, Seasonings & Rubs",71,https://www.bigbasket.com/media/uploads/p/mm/800144455_2-the-spice-club-powder-chaat-masala.jpg,"Chaat masala is a racy blend that gives a wild and lively tweak to the well worn taste of Salads, Sandwiches, Fresh fruits, Finger chips, Snacks, Soft drinks etc."
2278,Omega Select Plus Non-Stick Deep Appachetty (30739),"Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,Kadai & Fry Pans,1070,https://www.bigbasket.com/media/uploads/p/s/40009210_4-prestige-omega-select-plus-non-stick-deep-appachetty-30739.jpg,"Now experience taste, high performance and health all in one place. The new and improved Omega select Plus makes cooking safer and health better. Its new & improved coating ensures durability and poses no harm to food. All in all, smart cookware for a smart kitchen."
2279,"Envelope - White, 11 x 5 inches",Cleaning & Household,Stationery,Ravi,"Notebooks, Files, Folders",66,https://www.bigbasket.com/media/uploads/p/mm/40126403_2-ravi-envelope-white-11-x-5-inches.jpg,"Ravi Envelopes are a must have in every office and home as it can be used for packaging paper documents and other flat items like letters, cards and cheques. These envelopes keep papers neat, safe and organised and are the ideal way to hand over paper documents."
2280,Turmeric Cardamom Green Tea,Gourmet & World Food,Drinks & Beverages,Chaayos,Gourmet Tea & Tea Bags,299,https://www.bigbasket.com/media/uploads/p/mm/40203861_1-chaayos-turmeric-cardamom-green-tea.jpg,"This Turmeric Cardamom Green Tea is an Immunity-Boosting Green Tea - Green Tea is a rich source of antioxidants and Turmeric has always been known for its immunity-boosting properties. This herbal tea is also great for weight loss and people looking for a detox. Convenience Of Tea Bags - Simple, fast and consistent. Tea Bags let you make your tea the same great taste every time. Pyramid tea bags provide superior infusion. Great Taste Always - Only the best quality whole leaves green tea from Darjeeling are used to give the sweet and pure quality. Turmeric from Meghalaya carefully selected and sun-dried for an original and exotic flavour. Freshness Seal Packs - All teabags are individual wrapped in freshness protecting packaging, to ensure you get the goodness in the first and last sip alike."
2281,Fruit Tea Cake,"Bakery, Cakes & Dairy",Cakes & Pastries,Fresho Signature,Tea Cakes & Slice Cakes,175,https://www.bigbasket.com/media/uploads/p/s/40037482_4-fresho-signature-fruit-tea-cake.jpg,"Fabulous flavour, simply stated, for anytime enjoyment.  A great accompaniment to bond over tea. Enjoy it all by yourself or with family and friends. Made with premium quality ingredients, the taste is surely going to tame your tastebuds. Enjoy this sweet delight and say bye to small hunger pangs."
2282,Coconad - Coconut Oil,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Klf ,Other Edible Oils,335,https://www.bigbasket.com/media/uploads/p/s/262815_2-klf-coconad-coconut-oil.jpg,"KLF’s Coconad coconut oil is a much healthier substitute than regular cooking oil as it is made from the finest coconuts from Kerala. It makes the food light and healthy, and exudes a delicious aroma which is mouthwatering. KLF makes sure that the oil is procured from the most trustworthy vendors and the packaging is done carefully to prevent leaks or contaminations."
2283,"Sooji - Ordinary, 1 kg + Besan Flour, 1 kg + Maida, 1 kg","Foodgrains, Oil & Masala","Atta, Flours & Sooji",bb Royal,"Sooji, Maida & Besan",270,https://www.bigbasket.com/media/uploads/p/s/1200526_1-bb-royal-sooji-ordinary-1-kg-besan-flour-1-kg-maida-1-kg.jpg,"The BB Royal Sooji or semolina is packed with health benefits. It is actually anything but ordinary because it has been sourced from the finest of durum wheat and then packaged hygenically so that it doesnt get affected by humidity.
 Gram flour or besan, is a light yellow color pulses flour made by grinding chickpea (Bengal gram). It is rich in fiber and nutrients, that can improve heart health, stabilize blood sugar and prevent diabetes. Besan is used to make batter for fries like bhajjis, pakodas and vadas. It is also used to make desserts and various kinds of sweet dishes. It can be used as a natural scrub for the skin and is believed to enhance complexion.
 The BB Royal Maida or white flour is an ideal part of any cuisine, including Indian, Chinese and Italian. The maida is sourced from the best of wheat grains, trying to retain optimal fibre value so that you are able to get quality flour, especially with self-rising benefits.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/"
2284,Gold Deodorant - For Men,Beauty & Hygiene,Men's Grooming,Yardley London,Men's Deodorants,597,https://www.bigbasket.com/media/uploads/p/mm/1213517_3-yardley-london-gold-deodorant-for-men.jpg,"Yardley London Gold Deodorant is a refreshing body spray is packed with elegance and beauty with an ever-lasting fragrance. Enjoy the rich and authentic fragrances from the house of Yardley, which will keep you energizing and rejuvenating. This deo has a charming and sophisticated fragrance to it. It has a fresh and sensual fragrance that is simply irresistible. A perfect deodorant for all the men's."
2285,"Macaroni - 100% Sooji, No Maida",Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Grabenord,Pasta & Macaroni,125,https://www.bigbasket.com/media/uploads/p/mm/40196974_5-grabenord-macaroni-100-sooji-no-maida.jpg,"Made from sooji, no maida traditional pasta made from the high-quality durum wheat semolina rich in protein & fibre. No trans fat and no cholesterol high roughness for a perfect absorption of sauces with excellent taste and aroma of semolina 100% sooji, no maida make it the traditional way of just flip the packet and find the Indian masala pasta recipe."
2286,Flex Extra Body Conditioner,Beauty & Hygiene,Hair Care,Revlon,Hair Color,265,https://www.bigbasket.com/media/uploads/p/mm/40013552_4-revlon-flex-extra-body-conditioner.jpg,"• Panthenol formula penetrates to help mend and prevent split ends and build extra-flexible extra-strong, extra-full clean body.
• Helps prevent split ends.
• Builds extra flexible & strong hair.
• Mends split ends."
2287,Hair Loss Health Care Pack - For 30 Days,Beauty & Hygiene,Health & Medicine,Jiva Ayurveda,Ayurveda,1100,https://www.bigbasket.com/media/uploads/p/mm/40199426_1-jiva-ayurveda-hair-loss-health-care-pack-for-30-days.jpg,"The Jiva Sattva Hair loss Healthcare Pack is a combination of time-tested natural herbs that have ensured lustrous, thick, and dark hair for ages. It is effective for both men and women experiencing excessive hair loss caused by various reasons. The treatment is also effective against premature greying, loss of lustre, and thinning of hair. It helps to clear any existing clogged hair follicle to promote hair re-growth. Those with healthy hair may also use this pack in order to prevent undesirable hair problems."
2288,Green Tea & Tea Tree Face Wash,Beauty & Hygiene,Skin Care,Globus,Face Care,140,https://www.bigbasket.com/media/uploads/p/mm/40151344_1-globus-green-tea-tea-tree-face-wash.jpg,"Globus green tea & tea tree face wash deeply cleans without drying, eliminates the breakouts while removing excess oil, makeup and bacteria. It penetrates pores to eliminate, clear up, and prevents the development of new acne blemishes while allowing the skin to heal. It is a deep pore cleanser which contains exfoliating beads, thus helping the removal of dead cells."
